"HostelName","City","StartingPrice","Distance","RatingScore","RatingBand","Atmosphere","Cleanliness","Facilities","Location","Security","Staff","ValueForMoney","lon","lat","Station","Dist_Station","lat_station","lng_station"
"Centurion Cabin & Spa Kyoto","Kyoto",2500,1.1,8.9,"Fabulous",7.9,9.6,9.1,9.6,8.9,8.5,8.6,135.761618,35.003533,"Shijo",0.213542914317596,35.0024081,135.7597178
"Centurion Hotel Residential Akasaka","Tokyo",2600,4.5,9,"Superb",7.5,9.3,9.3,9.3,9.5,8.9,9,139.7376971,35.6738463,"Akasaka",0.305508510500895,35.6715627,139.7358165
"Centurion Ladies Hostel Uenopark (Female only)","Tokyo",2500,7.4,8.9,"Fabulous",7.7,8.9,9.1,9.1,9.3,8.9,9.3,139.770129,35.709199,"Yushima",0.139416844850421,35.7079466,139.7700559
"Chaganjutei","Kyoto",3300,14.1,9.6,"Superb",10,10,9,9,9,10,10,135.8007905,34.8876476,"Ogura",1.84043038162017,34.8931814,135.7817732
"CITAN Hostel","Tokyo",2500,8.1,9.4,"Superb",9.3,9.8,9.5,9.1,9.5,9.6,9.3,139.781352,35.691571,"Kodemmacho",0.260487149352943,35.6913621,139.7784791
"Coco Hostel Osaka","Osaka",2100,4.7,8.5,"Fabulous",7.2,9.2,8,9.8,8.2,8.8,8.2,135.508221,34.6644243,"Nippombashi",0.341928649894025,34.6669677,135.5061197
"Colours","Kyoto",1600,1.8,8.9,"Fabulous",4,10,10,8,10,10,10,135.7546795,34.99980923,"Shijo",0.5423178079131,35.0024081,135.7597178
"Comics & CapsuleHotel COMICAP kyotoshinkyogoku","Kyoto",2000,0.7,9.6,"Superb",9.1,9.8,9.8,9.8,9.4,9.3,9.7,135.7676061,35.0053862,"Hyotan-yama",0.20896653622457,35.0037565,135.7687486
"Common de Hostel & Bar","Fukuoka-City",2500,0.8,9.9,"Superb",10,10,10,9,10,10,10,130.4032209,33.5978245,"Nakasu-Kawabata",0.456353405602982,33.5945858,130.4062472
"Daikoku Hostel","Osaka",2800,5.8,8,"Fabulous",6,8,8,8,9,9,8,135.4971528,34.6550004,"Daikokucho",0.119409567728382,34.6559111,135.4978446
"Dotombori Base","Osaka",2500,4.3,8.7,"Fabulous",8.6,8.3,7.7,9.7,8.6,9.4,8.9,135.5052683,34.6678045,"Nippombashi",0.121329064305691,34.6669677,135.5061197
"Downtown Inn Kyoto","Kyoto",1000,1.4,9.3,"Superb",8.9,9.7,9.7,9.1,9.1,8.6,9.7,135.755182,35.0052769,"Shijo",0.521950102019274,35.0024081,135.7597178
"Drop Inn Osaka","Osaka",2800,1.4,8.8,"Fabulous",8.3,9.5,9,8.3,9.1,8.5,8.7,135.4886189,34.7001589,"Higashi-Ikoma Signal Station",0.150193032961673,34.7004523,135.4902226
"Edo Tokyo Hostel","Tokyo",1800,15.8,8.1,"Fabulous",8,8.5,8,7.5,7,8.5,9,139.8638707,35.7129526,"Oshiage",4.57957823496333,35.7106447,139.8132275
"Emblem Hostel Nishiarai","Tokyo",2000,13.3,9.3,"Superb",9.5,9.8,9.7,7.4,9.8,9.8,9.5,139.791216,35.7782,"Kita-senju",3.42154669646797,35.7495473,139.8050418
"ENAKA Asakusa Central Hostel","Tokyo",2600,9.7,9.3,"Superb",8.9,9.8,9.3,9.6,9.6,9.1,8.9,139.795301,35.7121845,"Asakusa",0.271847800993829,35.71085336,139.7978265
"Ezstay Osaka","Osaka",2000,4.6,3.1,"Rating",2,2,2,4,6,2,4,135.535271,34.6757318,"Tamatsukuri",0.336020228453058,34.6734694,135.532835
"Fairfield House","Kyoto",1700,1.9,9.3,"Superb",9.1,9.6,9.4,8.7,9.3,9.6,9.7,135.7513206,35.00213845,"Shijo",0.765429835148348,35.0024081,135.7597178
"Family & bAKpAK Tokyo Hostel","Tokyo",1800,9.8,7.4,"Very Good",6.5,6.5,7.5,7.5,8.5,6.5,9,139.79148,35.72369,"Iriya",0.593308420960655,35.7215633,139.7854523
"Friends Kyo","Kyoto",2200,1.2,10,"Superb",10,10,10,10,10,10,10,135.7718,35.001371,"Hyotan-yama",0.384194509505374,35.0037565,135.7687486
"Fukuoka Backpackers Hostel","Fukuoka-City",2300,2.5,8.3,"Fabulous",7.5,8.6,8,8.2,8.8,8.9,8.1,130.428142,33.584119,"Higashi-Hie",0.689599324323203,33.5897427,130.4312804
"Fukuoka Hana Hostel","Fukuoka-City",2500,0.8,9,"Superb",8.3,9.2,8.8,9.5,9,9.3,9,130.4097719,33.5926482,"Nakasu-Kawabata",0.391154553976398,33.5945858,130.4062472
"Funtoco Backpackers Namba","Osaka",2300,5.5,9.3,"Superb",8.9,9.6,9,9,9.5,10,9.4,135.503623,34.656784,"Ebisucho",0.272147401029831,34.6549385,135.5055773
"Gion Ryokan Q-beh","Kyoto",2800,1.5,9.5,"Superb",9,9.8,9.5,9.8,9.3,9.5,9.6,135.7795363,35.0014418,"Hyotan-yama",1.01572361309354,35.0037565,135.7687486
"Goen Lounge＆Stay","Osaka",2000,18.2,8.9,"Fabulous",8,10,10,6,8,10,10,135.6505111,34.815565,"Takatsuki-shi",4.55380436725655,34.8498121,135.6231521
"Gojo Guest House","Kyoto",2000,1.9,9.5,"Superb",9.6,9.5,8.8,9.6,9.3,10,9.8,135.7722097,34.9954879,"Hyotan-yama",0.97197337464999,35.0037565,135.7687486
"Gojo Guesthouse - Annex","Kyoto",2500,1.7,9.6,"Superb",8.7,10,9.3,9.3,10,10,10,135.775803,34.998209,"Hyotan-yama",0.890715607555004,35.0037565,135.7687486
"Good Diner Inn Copain","Tokyo",3300,5.6,9.1,"Superb",9.5,9.5,9.5,8,9,10,8.5,139.7182582,35.7346756,"Higashi-ikebukuro",0.919827135139193,35.7264063,139.7185282
"Grids Kyoto Shijo Kawaramachi Hotel & Hostel","Kyoto",1800,1,9.7,"Superb",8.9,10,9.5,10,10,9.8,9.8,135.764823,35.004678,"Hyotan-yama",0.371939742593783,35.0037565,135.7687486
"GRIDS TOKYO AKIHABARA HOTEL&HOSTEL","Tokyo",2400,8,8.7,"Fabulous",7.8,9.4,8.7,8.7,8.8,8.7,8.7,139.780326,35.696562,"Kodemmacho",0.601777367515793,35.6913621,139.7784791
"Grids Tokyo Asakusa-Bashi Hotel&Hostel","Tokyo",2200,8.3,9,"Superb",7.9,9.6,9,8.7,9.5,9.5,8.9,139.780326,35.696562,"Kodemmacho",0.601777367515793,35.6913621,139.7784791
"GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL","Tokyo",2400,8.3,8.3,"Fabulous",6.7,9.3,8.7,9.3,9.3,7.3,7.3,139.783943,35.690286,"Kodemmacho",0.507745330895813,35.6913621,139.7784791
"Guest House Bola-Bola","Kyoto",2700,6.1,9.4,"Superb",9.3,9.9,9,8.8,9.4,9.9,9.4,135.7015683,35.0147747,"Marutamachi",5.30244292801327,35.016855,135.759738
